periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_Mean_5
2018-01-07,177.0,154.0,120.0,93.0,156.0,320.0,169.0,306.0,536.0,180.0,176.0,4774.0
2018-01-14,143.0,245.722448979592,175.0,134.0,174.0,283.0,206.0,266.0,500.0,182.0,193.0,5003.444897959183
2018-01-21,163.0,166.0,147.0,227.210317460317,208.0,227.0,211.0,257.0,473.0,206.0,265.262295081967,5100.945225084568
2018-01-28,136.0,136.0,118.0,122.0,167.0,210.0,220.0,257.0,449.0,216.0,258.0,4578.0
2018-02-04,122.0,144.0,134.0,93.0,201.0,204.0,184.0,351.481632653061,466.0,199.0,218.0,4632.963265306122
2018-02-11,195.0,145.0,164.0,90.0,198.0,222.0,217.0,244.0,571.0,219.0,172.0,4874.0
2018-02-18,135.0,163.0,157.0,114.0,181.0,221.0,179.0,241.0,560.0,165.0,233.0,4698.0
2018-02-25,246.35,137.0,188.0,124.0,196.0,222.0,192.0,351.481632653061,628.0,144.0,216.0,5289.663265306122
2018-03-04,144.0,138.0,158.0,170.0,182.0,198.0,197.0,331.0,529.0,130.0,160.0,4674.0
2018-03-11,145.0,198.0,170.0,115.0,207.0,232.0,218.0,301.0,647.0,179.0,167.0,5158.0
2018-03-18,246.35,212.0,196.0,181.0,313.0,317.0,256.0,289.0,640.0,214.0,247.0,6222.7
2018-03-25,214.0,245.0,245.0,207.0,349.0,395.0,292.0,273.0,703.0,259.0,355.0,7074.0
2018-04-01,256.0,384.0,211.0,274.0,426.0,360.0,328.0,349.0,682.0,299.0,380.0,7898.0
2018-04-08,264.0,343.0,205.0,269.0,265.574297188755,364.0,301.0,384.0,637.0,297.0,323.0,7305.14859437751
2018-04-15,298.0,365.0,191.0,266.0,411.0,373.0,334.0,355.0,617.0,303.0,379.0,7784.0
2018-04-22,310.0,322.0,225.0,290.0,391.0,585.0,338.0,388.0,644.0,340.0,364.0,8394.0
2018-04-29,328.0,493.0,252.0,316.0,471.0,624.0,383.0,425.0,648.0,312.0,470.0,9444.0
2018-05-06,282.0,432.0,205.0,202.0,364.0,419.0,298.0,402.0,554.0,291.0,443.0,7784.0
2018-05-13,316.0,346.0,218.0,196.0,367.0,459.0,300.0,442.0,645.0,280.0,446.0,8030.0
2018-05-20,266.0,342.0,178.0,237.0,374.0,384.0,336.0,415.0,702.0,335.0,395.0,7928.0
2018-05-27,265.0,245.722448979592,137.238298545225,251.0,377.0,421.0,328.269841269841,437.0,658.0,293.160642570281,464.0,7754.782462729878
2018-06-03,250.0,343.0,165.0,227.210317460317,397.0,511.0,332.0,393.0,580.0,299.0,352.0,7698.420634920634
2018-06-10,251.0,262.0,188.0,159.0,345.0,408.0,308.0,322.0,555.0,223.0,338.0,6718.0
2018-06-17,251.0,230.0,159.0,144.0,316.0,321.0,280.0,292.0,449.0,214.0,290.0,5892.0
2018-06-24,220.0,280.0,188.0,171.0,395.0,423.0,332.0,351.481632653061,635.0,249.0,302.0,7092.963265306122
2018-07-01,219.0,259.0,138.0,227.210317460317,363.0,381.0,319.0,340.0,622.0,225.0,302.0,6790.420634920634
2018-07-08,220.0,221.0,130.0,144.0,353.0,305.0,279.0,284.0,719.0,246.0,307.0,6416.0
2018-07-15,246.35,229.0,161.0,114.0,309.0,317.0,318.0,306.0,608.0,227.0,334.0,6338.7
2018-07-22,264.0,192.0,116.0,136.0,317.0,300.0,239.0,288.0,674.0,216.0,268.0,6020.0
2018-07-29,251.0,252.0,131.0,145.0,229.0,375.0,238.0,305.0,647.0,293.160642570281,264.0,6260.321285140562
2018-08-05,228.0,178.0,111.0,179.0,229.0,308.0,195.0,253.0,663.0,218.0,310.0,5744.0
2018-08-12,188.0,168.0,130.0,133.0,238.0,287.0,245.0,319.0,747.0,259.0,276.0,5980.0
2018-08-19,223.0,178.0,135.0,167.0,176.0,324.0,254.0,352.0,707.0,238.0,286.0,6080.0
2018-08-26,192.0,155.0,151.0,163.0,143.0,264.0,221.0,317.0,614.0,206.0,248.0,5348.0
2018-09-02,196.0,207.0,161.0,187.0,265.574297188755,332.0,240.0,377.0,733.0,280.0,338.0,6633.14859437751
2018-09-09,242.0,232.0,181.0,133.0,304.0,329.0,231.0,390.0,929.0,297.0,388.0,7312.0
2018-09-16,219.0,260.0,222.0,211.0,333.0,399.0,249.0,426.0,945.0,281.0,376.0,7842.0
2018-09-23,153.0,229.0,202.0,154.0,412.0,403.0,280.0,351.481632653061,943.0,307.0,363.0,7594.963265306122
2018-09-30,211.0,203.0,189.0,274.0,265.574297188755,438.0,305.0,441.0,927.0,351.0,344.0,7897.14859437751
2018-10-07,219.0,264.0,220.0,245.0,460.0,533.0,322.0,351.481632653061,695.559183673469,298.0,322.0,7860.081632653059
2018-10-14,238.0,277.0,270.0,318.0,599.0,682.0,357.0,616.0,1090.0,388.0,391.0,10452.0
2018-10-21,260.0,332.0,260.0,311.0,603.0,674.0,429.0,692.0,1291.0,397.0,265.262295081967,11028.524590163934
2018-10-28,285.0,309.0,253.0,380.0,622.0,718.0,381.0,614.0,1294.0,461.0,400.0,11434.0
2018-11-04,318.0,355.0,223.0,325.0,588.0,602.0,391.0,592.0,1160.0,293.0,429.0,10552.0
2018-11-11,278.0,346.0,255.0,248.0,265.574297188755,591.0,354.0,577.0,908.0,385.0,413.0,9241.14859437751
2018-11-18,218.0,311.0,196.0,227.0,466.0,651.0,386.0,426.0,985.0,382.0,265.262295081967,9026.524590163934
2018-11-25,199.0,386.0,188.0,263.0,440.0,569.0,353.0,473.0,891.0,378.0,335.0,8950.0
2018-12-02,250.0,298.0,143.0,288.0,342.0,500.0,364.0,351.481632653061,679.0,360.0,354.0,7858.963265306122
2018-12-09,232.0,263.0,153.0,75.0,353.0,470.0,258.0,338.0,637.0,291.0,223.0,6586.0
2018-12-16,188.0,245.722448979592,119.0,138.0,271.0,437.0,252.0,324.0,686.0,259.0,173.0,6185.444897959183
2018-12-23,164.0,211.0,77.0,112.0,241.0,391.0,208.0,273.0,556.0,183.0,241.0,5314.0
2018-12-30,246.35,185.0,226.0,114.0,147.0,325.0,194.0,274.0,500.0,122.0,146.0,4958.7
2019-01-06,182.0,191.0,137.238298545225,114.0,122.0,245.0,192.0,271.0,596.0,144.0,164.0,4716.47659709045
2019-01-13,194.0,177.0,166.0,143.0,85.0,334.0,160.0,279.0,733.0,163.0,163.0,5194.0
2019-01-20,210.0,217.0,163.0,153.0,113.0,256.0,213.0,299.0,731.0,239.0,177.0,5542.0
2019-01-27,167.0,226.0,188.0,157.0,113.0,310.0,215.0,272.0,710.0,242.0,185.0,5570.0
2019-02-03,181.0,201.0,159.0,227.210317460317,159.0,340.0,216.0,306.0,766.0,225.0,492.0,6544.420634920634
2019-02-10,227.0,233.0,173.0,146.0,265.574297188755,342.0,220.0,303.0,717.0,213.0,183.0,6045.14859437751
2019-02-17,199.0,192.0,200.0,160.0,162.0,338.0,225.0,307.0,659.0,250.0,218.0,5820.0
2019-02-24,279.0,234.0,208.0,174.0,177.0,337.0,282.0,330.0,540.0,295.0,191.0,6094.0
2019-03-03,227.0,251.0,131.0,162.0,175.0,326.0,293.0,293.0,633.0,236.0,168.0,5790.0
2019-03-10,246.35,270.0,164.0,155.0,203.0,291.0,277.0,309.0,613.0,228.0,227.0,5966.7
2019-03-17,250.0,280.0,158.0,181.0,219.0,341.0,281.0,311.0,586.0,259.0,290.0,6312.0
2019-03-24,243.0,340.0,225.0,270.0,178.0,350.0,296.0,374.0,599.0,287.0,276.0,6876.0
2019-03-31,281.0,403.0,203.0,288.0,246.0,388.0,311.0,395.0,625.0,304.0,450.0,7788.0
2019-04-07,300.0,456.0,218.0,247.0,471.0,404.0,273.0,371.0,610.0,293.160642570281,384.0,8054.321285140562
2019-04-14,328.0,389.0,205.0,258.0,429.0,435.0,347.0,352.0,695.559183673469,274.0,327.0,8079.118367346938
2019-04-21,349.0,458.0,270.0,340.0,331.0,450.0,295.0,401.0,683.0,345.0,181.0,8206.0
2019-04-28,371.0,559.0,194.0,326.0,391.0,647.0,366.0,455.0,808.0,341.0,396.0,9708.0
2019-05-05,299.0,498.0,237.0,320.0,453.0,568.0,333.0,405.0,747.0,253.0,438.0,9102.0
2019-05-12,294.0,459.0,218.0,196.0,426.0,551.0,233.0,511.0,793.0,246.0,494.0,8842.0
2019-05-19,347.0,441.0,150.0,85.0,532.0,677.0,340.0,302.0,733.0,261.0,526.0,8788.0
2019-05-26,371.0,476.0,109.0,102.0,569.0,617.0,333.0,437.0,721.0,380.0,532.0,9294.0
2019-06-02,296.0,320.0,123.0,93.0,542.0,463.0,260.0,351.481632653061,732.0,330.0,340.0,7700.963265306122
2019-06-09,255.0,274.0,124.0,192.0,452.0,509.0,370.0,456.0,623.0,293.160642570281,281.0,7658.321285140562
2019-06-16,334.0,327.0,206.0,183.0,425.0,628.0,334.0,466.0,757.0,317.0,146.0,8246.0
2019-06-23,308.0,379.0,161.0,166.0,510.0,575.0,451.0,399.0,800.0,301.0,159.0,8418.0
2019-06-30,264.0,386.0,168.0,204.0,362.0,522.0,381.0,451.0,792.0,324.0,131.0,7970.0
2019-07-07,318.0,363.0,166.0,124.0,356.0,629.0,353.0,364.0,850.0,275.0,111.0,7818.0
2019-07-14,294.0,290.0,98.0,215.0,261.0,557.0,368.0,409.0,827.0,281.0,116.0,7432.0
2019-07-21,294.0,231.0,115.0,219.0,376.0,524.0,381.0,414.0,695.559183673469,251.0,97.0,7195.118367346938
2019-07-28,293.0,239.0,11.0,88.0,378.0,403.0,357.0,278.0,796.0,187.0,268.0,6596.0
2019-08-04,255.0,234.0,127.0,165.0,391.0,451.0,384.0,351.481632653061,828.0,342.0,329.0,7714.963265306122
2019-08-11,211.0,211.0,137.238298545225,315.0,404.0,396.0,362.0,443.0,842.0,267.0,237.0,7650.47659709045
2019-08-18,265.0,264.0,162.0,227.210317460317,444.0,361.0,367.0,481.0,695.559183673469,304.0,301.0,7743.539002267572
2019-08-25,278.0,196.0,79.0,81.0,389.0,490.0,366.0,288.0,1041.0,265.0,294.0,7534.0
2019-09-01,231.0,227.0,156.098039215686,71.0,506.0,377.0,338.0,19.0,695.559183673469,172.0,275.0,6135.31444577831
2019-09-08,244.0,231.0,70.0,71.0,356.0,473.0,301.0,279.0,1024.0,284.0,297.0,7260.0
2019-09-15,221.0,184.0,37.0,80.0,403.0,499.0,328.269841269841,393.0,900.0,377.0,363.0,7570.539682539682
2019-09-22,273.0,236.0,132.0,77.0,375.0,484.0,367.0,347.0,988.0,286.0,263.0,7656.0
2019-09-29,182.0,241.0,65.0,86.0,443.0,494.0,406.0,367.0,954.0,330.0,283.0,7702.0
2019-10-06,197.0,264.0,137.238298545225,231.0,543.0,484.0,326.0,551.0,1095.0,328.0,281.0,8874.47659709045
2019-10-13,190.0,206.0,196.0,271.0,497.0,493.0,275.0,660.0,1128.0,340.0,324.0,9160.0
2019-10-20,255.0,229.0,244.0,286.0,577.0,501.0,371.0,622.0,695.559183673469,342.0,352.0,8949.118367346939
2019-10-27,214.0,313.0,195.0,241.0,402.0,460.0,373.0,564.0,1198.0,339.0,383.0,9364.0
2019-11-03,251.0,277.0,185.0,407.0,406.0,497.0,396.0,491.0,1029.0,313.0,401.0,9306.0
2019-11-10,246.35,217.0,169.0,231.0,347.0,434.0,384.0,460.0,907.0,340.0,340.0,8150.7
2019-11-17,209.0,214.0,180.0,261.0,279.0,407.0,387.0,363.0,874.0,342.0,305.0,7642.0
2019-11-24,217.0,229.0,162.0,317.0,231.0,410.0,346.0,413.0,793.0,322.0,272.0,7424.0
2019-12-01,192.0,268.0,147.0,193.0,183.0,384.0,359.0,371.0,783.0,268.0,256.0,6808.0
2019-12-08,200.0,213.0,137.238298545225,157.0,217.0,402.0,315.0,330.0,623.0,307.0,260.0,6322.47659709045
2019-12-15,246.35,125.0,123.0,249.0,218.0,373.0,290.0,295.0,598.0,232.0,173.0,5844.7
2019-12-22,232.0,137.0,93.0,45.0,348.0,373.0,221.0,187.0,567.0,240.0,265.262295081967,5416.524590163934
2019-12-29,231.0,141.0,59.0,45.0,136.0,242.0,252.0,158.0,638.0,195.0,111.0,4416.0
2020-01-05,197.0,167.0,108.0,71.0,105.0,285.0,237.0,241.0,610.0,156.0,116.0,4586.0
2020-01-12,173.0,202.0,131.0,118.0,83.0,272.0,236.0,351.481632653061,595.0,190.0,130.0,4962.963265306122
2020-01-19,174.0,187.0,137.238298545225,117.0,111.0,243.0,206.0,228.0,563.0,226.0,185.0,4754.47659709045
2020-01-26,171.0,189.0,115.0,115.0,132.0,220.0,222.0,258.0,538.0,231.0,154.0,4690.0
2020-02-02,218.0,202.0,115.0,116.0,146.0,299.0,208.0,261.0,671.0,211.0,182.0,5258.0
2020-02-09,162.0,201.0,122.0,129.0,161.0,292.0,251.0,257.0,653.0,174.0,148.0,5100.0
2020-02-16,152.0,198.0,135.0,114.0,131.0,299.0,199.0,312.0,650.0,185.0,265.262295081967,5280.524590163934
2020-02-23,159.0,200.0,124.0,171.0,152.0,428.850806451613,261.0,291.0,634.0,187.0,161.0,5537.701612903225
2020-03-01,159.0,191.0,137.238298545225,146.0,196.0,406.0,265.0,283.0,717.0,186.0,228.0,5828.47659709045
2020-03-08,156.0,185.0,161.0,177.0,140.0,287.0,283.0,307.0,654.0,198.0,130.0,5356.0
2020-03-15,246.35,146.0,139.0,211.0,191.0,428.850806451613,276.0,306.0,562.0,216.0,169.0,5782.401612903226
2020-03-22,169.0,177.0,147.0,235.0,185.0,403.0,253.0,327.0,630.0,203.0,197.0,5852.0
2020-03-29,150.0,171.0,177.0,256.0,194.0,405.0,328.269841269841,280.0,594.0,239.0,265.262295081967,6119.064272703616
2020-04-05,246.35,183.0,137.238298545225,179.0,204.0,363.0,247.0,311.0,464.0,233.0,185.0,5505.17659709045
2020-04-12,209.0,144.0,135.0,174.0,229.0,291.0,328.269841269841,305.0,568.0,239.0,206.0,5656.539682539682
2020-04-19,216.0,263.0,135.0,219.0,244.0,373.0,237.0,385.0,651.0,173.0,236.0,6264.0
2020-04-26,275.0,261.0,150.0,215.0,273.0,377.0,273.0,351.481632653061,695.0,294.0,253.0,6834.963265306122
2020-05-03,327.0,360.0,146.0,207.0,265.0,342.0,275.0,415.0,683.0,285.0,264.0,7138.0
2020-05-10,365.0,330.0,155.0,238.0,291.0,428.850806451613,349.0,427.0,763.0,337.0,295.0,7957.701612903225
2020-05-17,246.35,352.0,136.0,262.0,374.0,425.0,386.0,452.0,660.0,347.0,253.0,7786.7
2020-05-24,326.0,245.722448979592,114.0,208.0,238.0,400.0,341.0,369.0,590.0,338.0,174.0,6687.444897959183
2020-05-31,416.0,245.722448979592,117.0,209.0,351.0,485.0,363.0,411.0,710.0,354.0,300.0,7923.444897959183
2020-06-07,439.0,294.0,147.0,228.0,328.0,428.850806451613,368.0,380.0,739.0,293.160642570281,265.262295081967,7820.5474882077215
2020-06-14,429.0,324.0,116.0,189.0,321.0,440.0,336.0,405.0,705.0,313.0,261.0,7678.0
2020-06-21,348.0,292.0,135.0,176.0,289.0,475.0,414.0,323.0,786.0,302.0,219.0,7518.0
